group,value1,value2
L13,69.90625,76.76875
L12,72.80625,82.21875
L11,67.7625,81.175
L10,72.85,82.33125
L9,69.98125,81.3375
L8,51.35625,82.1875
L7,55.3125,82.5375
L6,66.7625,82.51875
L5,49.01875,75.71875
L4,50.4875,77.975
L3,46.1125,78.59375
L2,48.78125,81.3
L1,48.5125,81.475
L0,49.89375,76.4875
