country,abbreviation,value
less than 1000000,ABB,48.6
less than 1000000,ABB,68.6
less than 1000000,ABB,84
less than 1000000,ABB,68.4
less than 1000000,ABB,78.6
less than 1000000,ABB,69.2
less than 1000000,ABB,56.2
less than 1000000,ABB,61.3
less than 1000000,ABB,68.9
less than 1000000,ABB,57
less than 1000000,ABB,74.1
less than 1000000,ABB,86
less than 1000000,ABB,61.8
less than 1000000,ABB,48
less than 1000000,ABB,52
less than 1000000,ABB,55.4
less than 1000000,ABB,69.4
less than 1000000,ABB,56.8
less than 1000000,ABB,61.8
less than 1000000,ABB,69.6
less than 1000000,ABB,62.2
less than 1000000,ABB,78.7
less than 1000000,ABB,79.6
less than 1000000,ABB,52.5
less than 1000000,ABB,74.5
less than 1000000,ABB,83
less than 1000000,ABB,79.8
less than 1000000,ABB,69.9
less than 1000000,ABB,59.4
less than 1000000,ABB,58.4
less than 1000000,ABB,62.7
less than 1000000,ABB,73
less than 1000000,ABB,74.6
less than 1000000,ABB,63
less than 1000000,ABB,65.6
less than 1000000,ABB,68
less than 1000000,ABB,62.3
less than 1000000,ABB,78.5
less than 1000000,ABB,75
less than 1000000,ABB,75.5
less than 1000000,ABB,59.1
less than 1000000,ABB,57.5
less than 1000000,ABB,62.5
less than 1000000,ABB,75.8
less than 1000000,ABB,73
less than 1000000,ABB,53.1
less than 1000000,ABB,69.7
less than 1000000,ABB,64.7
less than 1000000,ABB,71.6
less than 1000000,ABB,89
less than 1000000,ABB,80
less than 1000000,ABB,67.5
less than 1000000,ABB,59.1
less than 1000000,ABB,74
less than 1000000,ABB,81.8
less than 1000000,ABB,58.1
less than 1000000,ABB,73
less than 1000000,ABB,73.8
less than 1000000,ABB,59.6
less than 1000000,ABB,75.8
less than 1000000,ABB,75.9
less than 1000000,ABB,47.1
less than 1000000,ABB,66
less than 1000000,ABB,64.2
less than 1000000,ABB,62.5
less than 1000000,ABB,53.5
less than 1000000,ABB,79.7
less than 1000000,ABB,73.3
less than 1000000,ABB,48.9
less than 1000000,ABB,71.7
less than 1000000,ABB,73.4
less than 1000000,ABB,62.2
less than 1000000,ABB,74.8
less than 1000000,ABB,81.7
less than 1000000,ABB,72.2
less than 1000000,ABB,65
less than 1000000,ABB,65.9
less than 1000000,ABB,74.5
less than 1000000,ABB,65.4
less than 1000000,ABB,65.2
less than 1000000,ABB,81.5
less than 1000000,ABB,65.8
less than 1000000,ABB,73.5
less than 1000000,ABB,85
less than 1000000,ABB,74.1
more than 1000000,ABB,76
more than 1000000,ABB,61.7
more than 1000000,ABB,57.9
more than 1000000,ABB,60
more than 1000000,ABB,57.5
more than 1000000,ABB,79.3
more than 1000000,ABB,75
more than 1000000,ABB,61.1
more than 1000000,ABB,79
more than 1000000,ABB,57.3
more than 1000000,ABB,56.8
more than 1000000,ABB,63.1
more than 1000000,ABB,57.1
more than 1000000,ABB,78.7
more than 1000000,ABB,78.4
more than 1000000,ABB,58.7
more than 1000000,ABB,79.8
more than 1000000,ABB,57.6
more than 1000000,ABB,72.6
more than 1000000,ABB,45.3
more than 1000000,ABB,86
more than 1000000,ABB,81.1
more than 1000000,ABB,64.8
more than 1000000,ABB,58.1
more than 1000000,ABB,79.4
more than 1000000,ABB,81.4
more than 1000000,ABB,51.6
more than 1000000,ABB,71.8
more than 1000000,ABB,74.8
more than 1000000,ABB,63
more than 1000000,ABB,78.7
more than 1000000,ABB,77.3
more than 1000000,ABB,52.1
more than 1000000,ABB,77
more than 1000000,ABB,56
more than 1000000,ABB,51.5
more than 1000000,ABB,56.6
more than 1000000,ABB,63.5
more than 1000000,ABB,78.9
more than 1000000,ABB,78
more than 1000000,ABB,52.4
more than 1000000,ABB,61.6
more than 1000000,ABB,75
more than 1000000,ABB,64.7
more than 1000000,ABB,56.9
more than 1000000,ABB,64.6
more than 1000000,ABB,83
more than 1000000,ABB,52.9
more than 1000000,ABB,56.3
more than 1000000,ABB,74.7
more than 1000000,ABB,78.5
more than 1000000,ABB,67.8
more than 1000000,ABB,71.3
more than 1000000,ABB,73.9
more than 1000000,ABB,43.8
more than 1000000,ABB,59
more than 1000000,ABB,62.5
more than 1000000,ABB,61.6
more than 1000000,ABB,69.5
more than 1000000,ABB,58.4
more than 1000000,ABB,47.8
more than 1000000,ABB,79.9
more than 1000000,ABB,88
more than 1000000,ABB,80
more than 1000000,ABB,57.4
more than 1000000,ABB,56.9
more than 1000000,ABB,56.5
more than 1000000,ABB,44.8
more than 1000000,ABB,57.4
more than 1000000,ABB,57.5
more than 1000000,ABB,44.5
more than 1000000,ABB,79.2
more than 1000000,ABB,59.7
more than 1000000,ABB,55.7
more than 1000000,ABB,73.8
more than 1000000,ABB,86
more than 1000000,ABB,45.3
more than 1000000,ABB,74.6
more than 1000000,ABB,59.2
more than 1000000,ABB,46.2
more than 1000000,ABB,55
more than 1000000,ABB,79.3
more than 1000000,ABB,76
more than 1000000,ABB,63.6
more than 1000000,ABB,74.4
more than 1000000,ABB,76.5
more than 1000000,ABB,55.3
more than 1000000,ABB,74.8
more than 1000000,ABB,86
more than 1000000,ABB,61.4
more than 1000000,ABB,69.5
more than 1000000,ABB,74.9
more than 1000000,ABB,65.5
more than 1000000,ABB,52.8
more than 1000000,ABB,58.2
more than 1000000,ABB,46.7
more than 1000000,ABB,65.1
more than 1000000,ABB,63.5
more than 1000000,ABB,58.3
more than 1000000,ABB,74.8
more than 1000000,ABB,59.4
more than 1000000,ABB,53.6
more than 1000000,ABB,57.6
more than 1000000,ABB,59
more than 1000000,ABB,71
more than 1000000,ABB,46
more than 1000000,ABB,64
more than 1000000,ABB,73.2
more than 1000000,ABB,64.6
more than 1000000,ABB,79.8
more than 1000000,ABB,59.9
more than 1000000,ABB,71.4
more than 1000000,ABB,64.6
more than 1000000,ABB,56
more than 1000000,ABB,46.8
more than 1000000,ABB,44.6
more than 1000000,ABB,51.7
more than 1000000,ABB,78.7
more than 1000000,ABB,49
more than 1000000,ABB,49.3
more than 1000000,ABB,54.8
more than 1000000,ABB,68.2
more than 1000000,ABB,78
more than 1000000,ABB,75
more than 1000000,ABB,62.8
more than 1000000,ABB,55
more than 1000000,ABB,72.1
more than 1000000,ABB,69.3
more than 1000000,ABB,61
more than 1000000,ABB,71.8
more than 1000000,ABB,52.8
more than 1000000,ABB,76.6
more than 1000000,ABB,58.5
more than 1000000,ABB,52.1
more than 1000000,ABB,72.7
more than 1000000,ABB,62.8
more than 1000000,ABB,72.8
more than 1000000,ABB,56.5
more than 1000000,ABB,49.3
more than 1000000,ABB,73.9
more than 1000000,ABB,63.5
more than 1000000,ABB,74.1
more than 1000000,ABB,59.8
more than 1000000,ABB,71.7
more than 1000000,ABB,52.1
more than 1000000,ABB,52.5
more than 1000000,ABB,45.1
more than 1000000,ABB,69.1
more than 1000000,ABB,57.6
more than 1000000,ABB,51.8
more than 1000000,ABB,69.2
more than 1000000,ABB,47.1
more than 1000000,ABB,73.4
more than 1000000,ABB,44
more than 1000000,ABB,71.5
more than 1000000,ABB,75.1
more than 1000000,ABB,74.9
more than 1000000,ABB,85
more than 1000000,ABB,56.4
more than 1000000,ABB,79.7
more than 1000000,ABB,57.9
more than 1000000,ABB,72.5
more than 1000000,ABB,67.2
more than 1000000,ABB,57.9
more than 1000000,ABB,50
more than 1000000,ABB,81
more than 1000000,ABB,83
more than 1000000,ABB,79.4
more than 1000000,ABB,57
more than 1000000,ABB,56.6
more than 1000000,ABB,51.4
more than 1000000,ABB,65.2
more than 1000000,ABB,67.7
more than 1000000,ABB,51
more than 1000000,ABB,58.2
more than 1000000,ABB,79.9
more than 1000000,ABB,67.7
more than 1000000,ABB,71
more than 1000000,ABB,72.3
more than 1000000,ABB,51.2
more than 1000000,ABB,75.8
more than 1000000,ABB,74.4
more than 1000000,ABB,68
more than 1000000,ABB,76.3
more than 1000000,ABB,64.8
more than 1000000,ABB,76.6
more than 1000000,ABB,66.3
more than 1000000,ABB,55
more than 1000000,ABB,65.6
more than 1000000,ABB,78.3
more than 1000000,ABB,50
more than 1000000,ABB,55.7
more than 1000000,ABB,48.5
more than 1000000,ABB,68.3
more than 1000000,ABB,74.4
more than 1000000,ABB,58.4
more than 1000000,ABB,78
more than 1000000,ABB,54.4
more than 1000000,ABB,61.5
more than 1000000,ABB,54.5
more than 1000000,ABB,48.5
more than 1000000,ABB,55.3
more than 1000000,ABB,74.7
more than 1000000,ABB,67.3
more than 1000000,ABB,76
more than 1000000,ABB,62.7
more than 1000000,ABB,75
more than 1000000,ABB,61.4
more than 1000000,ABB,55
more than 1000000,ABB,64.9
more than 1000000,ABB,55.4
more than 1000000,ABB,59.7
more than 1000000,ABB,77.2
more than 1000000,ABB,76.9
more than 1000000,ABB,78.8
more than 1000000,ABB,72.8
more than 1000000,ABB,59
more than 1000000,ABB,74.4
more than 1000000,ABB,52.8
more than 1000000,ABB,69.5
more than 1000000,ABB,52.9
more than 1000000,ABB,77.3
more than 1000000,ABB,69.9
more than 1000000,ABB,74.4
more than 1000000,ABB,71
more than 1000000,ABB,76.3
more than 1000000,ABB,54.3
more than 1000000,ABB,56.8
more than 1000000,ABB,74.5
more than 1000000,ABB,76.1
more than 1000000,ABB,76.9
more than 1000000,ABB,74.4
more than 1000000,ABB,71
more than 1000000,ABB,59.7
more than 1000000,ABB,53.3
more than 1000000,ABB,65.8
more than 1000000,ABB,78
more than 1000000,ABB,76
more than 1000000,ABB,46
more than 1000000,ABB,46.6
more than 1000000,ABB,78
more than 1000000,ABB,75.6
more than 1000000,ABB,74.9
more than 1000000,ABB,71.1
more than 2000000,ABB,77.3
more than 2000000,ABB,89
more than 2000000,ABB,81
more than 2000000,ABB,64.5
more than 2000000,ABB,48
more than 2000000,ABB,74.3
more than 2000000,ABB,81.6
more than 2000000,ABB,81.5
more than 2000000,ABB,74.1
more than 2000000,ABB,77
more than 2000000,ABB,76.8
more than 2000000,ABB,71.6
more than 2000000,ABB,52.4
more than 2000000,ABB,76.5
more than 2000000,ABB,77
more than 2000000,ABB,56.7
more than 2000000,ABB,76.3
more than 2000000,ABB,62
more than 2000000,ABB,76.6
more than 2000000,ABB,73
more than 2000000,ABB,54
more than 2000000,ABB,67.6
more than 2000000,ABB,86
more than 2000000,ABB,79.5
more than 2000000,ABB,79.4
more than 2000000,ABB,79.1
more than 2000000,ABB,84
more than 2000000,ABB,85
more than 2000000,ABB,75
more than 2000000,ABB,73.6
more than 2000000,ABB,81.3
more than 2000000,ABB,81
more than 2000000,ABB,81.2
more than 2000000,ABB,75.4
more than 2000000,ABB,81
more than 2000000,ABB,82.6
more than 2000000,ABB,79.2
more than 2000000,ABB,63.4
more than 2000000,ABB,81.4
more than 2000000,ABB,82
more than 2000000,ABB,67.7
more than 2000000,ABB,62.1
more than 2000000,ABB,41
more than 2000000,ABB,63.3
more than 2000000,ABB,74.2
more than 2000000,ABB,75.4
more than 2000000,ABB,75.4
more than 2000000,ABB,75.7
more than 2000000,ABB,73
more than 2000000,ABB,58.3
more than 2000000,ABB,73
more than 2000000,ABB,59.2
more than 2000000,ABB,68.8
more than 2000000,ABB,74.6
more than 2000000,ABB,55.3
more than 2000000,ABB,73
more than 2000000,ABB,63
more than 2000000,ABB,51.5
more than 2000000,ABB,54.9
more than 2000000,ABB,73.4
more than 2000000,ABB,76.1
more than 2000000,ABB,68.4
more than 2000000,ABB,74.5
more than 2000000,ABB,73.3
more than 2000000,ABB,51.9
more than 2000000,ABB,58.8
more than 2000000,ABB,72.9
more than 2000000,ABB,74.4
more than 2000000,ABB,75.3
more than 2000000,ABB,39
more than 2000000,ABB,74.2
more than 2000000,ABB,50
more than 2000000,ABB,78
more than 2000000,ABB,75.1
more than 2000000,ABB,61.2
more than 2000000,ABB,72.3
more than 2000000,ABB,75.8
more than 2000000,ABB,72.8
more than 2000000,ABB,71.7
more than 2000000,ABB,72.7
more than 2000000,ABB,72
more than 2000000,ABB,48.2
more than 2000000,ABB,71.6
more than 2000000,ABB,59.7
more than 2000000,ABB,72
more than 2000000,ABB,54
more than 2000000,ABB,77
more than 2000000,ABB,72.2
more than 2000000,ABB,74.9
more than 2000000,ABB,75.7
more than 2000000,ABB,51.9
more than 2000000,ABB,71.3
more than 2000000,ABB,71.1
more than 2000000,ABB,78.9
more than 2000000,ABB,79.7
more than 2000000,ABB,89
more than 2000000,ABB,74.1
more than 2000000,ABB,76
more than 2000000,ABB,74.9
more than 2000000,ABB,77.2
more than 2000000,ABB,75.2
more than 2000000,ABB,75.7
more than 2000000,ABB,75.5
more than 2000000,ABB,74.1
more than 2000000,ABB,59.2
more than 2000000,ABB,74.1
more than 2000000,ABB,75.7
more than 2000000,ABB,74.5
more than 2000000,ABB,74.2
more than 2000000,ABB,77.5
more than 2000000,ABB,74.1
more than 2000000,ABB,76.3
more than 2000000,ABB,59.1
more than 2000000,ABB,76.8
more than 2000000,ABB,76.7
more than 2000000,ABB,46
more than 2000000,ABB,74
more than 2000000,ABB,76.1
more than 2000000,ABB,58.8
more than 2000000,ABB,57.9
more than 2000000,ABB,76.5
more than 2000000,ABB,73.2
more than 2000000,ABB,77.4
more than 2000000,ABB,74.4
more than 2000000,ABB,75.3
more than 2000000,ABB,53
more than 2000000,ABB,76.8
more than 2000000,ABB,82.2
more than 2000000,ABB,73.7
more than 2000000,ABB,59.3
more than 2000000,ABB,58.5
more than 2000000,ABB,60
more than 2000000,ABB,76.5
more than 2000000,ABB,54.1
more than 2000000,ABB,58.6
more than 2000000,ABB,76.9
more than 2000000,ABB,59.5
more than 2000000,ABB,62.2
more than 2000000,ABB,75
more than 2000000,ABB,63.2
more than 2000000,ABB,64.1
more than 2000000,ABB,77
more than 2000000,ABB,71
more than 2000000,ABB,79
more than 2000000,ABB,61.1
more than 2000000,ABB,75.9
more than 2000000,ABB,74.9
more than 2000000,ABB,47.6
more than 2000000,ABB,78.9
more than 2000000,ABB,75.4
more than 2000000,ABB,79.5
more than 2000000,ABB,76.6
more than 2000000,ABB,77.1
more than 2000000,ABB,49.2
more than 2000000,ABB,79.2
more than 2000000,ABB,79.8
more than 2000000,ABB,73.5
more than 2000000,ABB,61.4
more than 2000000,ABB,49.9
more than 2000000,ABB,78.8
more than 2000000,ABB,58
more than 2000000,ABB,71.3
more than 2000000,ABB,63.8
more than 2000000,ABB,49.8
more than 2000000,ABB,73.5
more than 2000000,ABB,77.7
more than 2000000,ABB,77.8
more than 2000000,ABB,67
more than 2000000,ABB,77.6
more than 2000000,ABB,77.4
more than 2000000,ABB,59.7
more than 2000000,ABB,75.2
more than 2000000,ABB,77.8
more than 2000000,ABB,75.3
more than 2000000,ABB,45.7
more than 2000000,ABB,73.9
more than 2000000,ABB,78.6
more than 2000000,ABB,78
more than 2000000,ABB,74.8
more than 2000000,ABB,78
more than 2000000,ABB,63
more than 2000000,ABB,62
more than 2000000,ABB,78.7
more than 2000000,ABB,67
more than 2000000,ABB,63.1
more than 2000000,ABB,74.7
more than 2000000,ABB,67
more than 2000000,ABB,77.5
more than 2000000,ABB,73.9
more than 2000000,ABB,62
more than 2000000,ABB,76.2
more than 2000000,ABB,72.4
more than 2000000,ABB,73.8
more than 2000000,ABB,63
more than 2000000,ABB,82.7
more than 2000000,ABB,53.8
more than 2000000,ABB,65.1
more than 2000000,ABB,56.7
more than 2000000,ABB,73.1
more than 2000000,ABB,72.7
more than 2000000,ABB,62.5
more than 2000000,ABB,66
more than 2000000,ABB,62.8
more than 2000000,ABB,63.2
more than 2000000,ABB,54
more than 2000000,ABB,65.5
more than 2000000,ABB,65.8
more than 2000000,ABB,46.6
more than 2000000,ABB,63.8
more than 2000000,ABB,57.9
more than 2000000,ABB,69
more than 2000000,ABB,73.1
more than 2000000,ABB,78
more than 2000000,ABB,65.8
more than 2000000,ABB,71
more than 2000000,ABB,47.7
more than 2000000,ABB,63.3
more than 2000000,ABB,52.1
more than 2000000,ABB,73.7
more than 2000000,ABB,72.5
more than 2000000,ABB,72.6
more than 2000000,ABB,66.5
more than 2000000,ABB,52.1
more than 2000000,ABB,74.3
more than 2000000,ABB,65.1
more than 2000000,ABB,77
more than 2000000,ABB,64
more than 2000000,ABB,53.7
more than 2000000,ABB,48.7
more than 2000000,ABB,71.9
more than 2000000,ABB,55.9
more than 2000000,ABB,78
more than 2000000,ABB,64.3
more than 2000000,ABB,75
more than 2000000,ABB,56.7
more than 2000000,ABB,76
more than 2000000,ABB,73.4
more than 2000000,ABB,74.7
more than 2000000,ABB,66.7
more than 2000000,ABB,71.6
more than 2000000,ABB,58.1
more than 2000000,ABB,67.8
more than 2000000,ABB,72.6
more than 2000000,ABB,67.6
more than 2000000,ABB,67.4
more than 2000000,ABB,51.1
more than 2000000,ABB,75
more than 2000000,ABB,66
more than 2000000,ABB,57.3
more than 2000000,ABB,61.6
more than 2000000,ABB,48.8
more than 2000000,ABB,62.8
more than 2000000,ABB,54.8
more than 2000000,ABB,65.4
more than 2000000,ABB,67.2
more than 2000000,ABB,64.7
more than 2000000,ABB,73.1
more than 2000000,ABB,67.1
more than 2000000,ABB,64.5
more than 2000000,ABB,73.2
more than 2000000,ABB,64
more than 2000000,ABB,67.4
more than 2000000,ABB,64.3
more than 2000000,ABB,72.6
more than 2000000,ABB,51
more than 2000000,ABB,67.2
more than 2000000,ABB,67.5
more than 2000000,ABB,73.9
more than 2000000,ABB,71.7
more than 2000000,ABB,53.2
more than 2000000,ABB,65.9
more than 2000000,ABB,75.2
more than 2000000,ABB,73.8
more than 2000000,ABB,67.8
more than 2000000,ABB,69.3
more than 2000000,ABB,66.9
more than 2000000,ABB,74.2
more than 2000000,ABB,74
more than 2000000,ABB,52.4
more than 2000000,ABB,73.5
more than 2000000,ABB,51.7
more than 2000000,ABB,67.3
more than 2000000,ABB,73.8
more than 2000000,ABB,73.1
more than 2000000,ABB,73
more than 2000000,ABB,58.6
more than 2000000,ABB,73.3
more than 2000000,ABB,58.1
more than 2000000,ABB,68
more than 5000000,ABB,65.4
more than 5000000,ABB,81.6
more than 5000000,ABB,58.9
more than 5000000,ABB,65.5
more than 5000000,ABB,73.3
more than 5000000,ABB,74.5
more than 5000000,ABB,61.4
more than 5000000,ABB,51.5
more than 5000000,ABB,65.9
more than 5000000,ABB,58.3
more than 5000000,ABB,82.4
more than 5000000,ABB,73.5
more than 5000000,ABB,74
more than 5000000,ABB,61.1
more than 5000000,ABB,48.9
more than 5000000,ABB,71.6
more than 5000000,ABB,82
more than 5000000,ABB,81.5
more than 5000000,ABB,51.3
more than 5000000,ABB,73.9
more than 5000000,ABB,72.5
more than 5000000,ABB,81.3
more than 5000000,ABB,71
more than 5000000,ABB,71.2
more than 5000000,ABB,73.1
more than 5000000,ABB,71.4
more than 5000000,ABB,64.3
more than 5000000,ABB,89
more than 5000000,ABB,89
more than 5000000,ABB,73.6
more than 5000000,ABB,65.2
more than 5000000,ABB,64
more than 5000000,ABB,55.4
more than 5000000,ABB,78.8
more than 5000000,ABB,66.7
more than 5000000,ABB,73
more than 5000000,ABB,55
more than 5000000,ABB,73.2
more than 5000000,ABB,81.1
more than 5000000,ABB,53.4
more than 5000000,ABB,73.6
more than 5000000,ABB,73.4
more than 5000000,ABB,81
more than 5000000,ABB,73.8
more than 5000000,ABB,74.5
more than 5000000,ABB,73.7
more than 5000000,ABB,55.6
more than 5000000,ABB,72.8
more than 5000000,ABB,74.4
more than 5000000,ABB,62
more than 5000000,ABB,74.1
more than 5000000,ABB,52
more than 5000000,ABB,82
more than 5000000,ABB,59.7
more than 5000000,ABB,74.3
more than 5000000,ABB,52.6
more than 5000000,ABB,74.5
more than 5000000,ABB,75.3
more than 5000000,ABB,79.9
more than 5000000,ABB,49.6
more than 5000000,ABB,51.9
more than 5000000,ABB,61.6
more than 5000000,ABB,84
more than 5000000,ABB,74
more than 5000000,ABB,73.5
more than 5000000,ABB,71.1
more than 5000000,ABB,79.4
more than 5000000,ABB,86
more than 5000000,ABB,55
more than 5000000,ABB,73.2
more than 5000000,ABB,43.3
more than 5000000,ABB,84
more than 5000000,ABB,81
more than 5000000,ABB,80
more than 5000000,ABB,58.9
more than 5000000,ABB,66.3
more than 5000000,ABB,79.2
more than 5000000,ABB,72.5
more than 5000000,ABB,54.9
more than 5000000,ABB,72.4
more than 5000000,ABB,62.9
more than 5000000,ABB,81.1
more than 5000000,ABB,66
more than 5000000,ABB,89
more than 5000000,ABB,78.4
more than 5000000,ABB,42.3
more than 5000000,ABB,87
more than 5000000,ABB,78.1
more than 5000000,ABB,78.1
more than 5000000,ABB,84
more than 5000000,ABB,72.3
more than 5000000,ABB,83
more than 5000000,ABB,71.2
more than 5000000,ABB,77
more than 5000000,ABB,78.8
more than 5000000,ABB,59.1
more than 5000000,ABB,79.9
more than 5000000,ABB,73.2
more than 5000000,ABB,73.4
more than 5000000,ABB,73.3
more than 5000000,ABB,82
more than 5000000,ABB,82.3
more than 5000000,ABB,73
more than 5000000,ABB,73
more than 5000000,ABB,79.2
more than 5000000,ABB,46.2
more than 5000000,ABB,72
more than 5000000,ABB,56.2
more than 5000000,ABB,59.9
more than 5000000,ABB,71.4
more than 5000000,ABB,73
more than 5000000,ABB,55.9
more than 5000000,ABB,81.6
more than 5000000,ABB,65.9
more than 5000000,ABB,58
more than 5000000,ABB,69.9
more than 5000000,ABB,72.5
more than 5000000,ABB,73.9
more than 5000000,ABB,72.8
more than 5000000,ABB,72.3
more than 5000000,ABB,69
more than 5000000,ABB,59.3
more than 5000000,ABB,74.9
more than 5000000,ABB,44.3
more than 5000000,ABB,81.3
more than 5000000,ABB,55.7
more than 5000000,ABB,72.1
more than 5000000,ABB,81.5
more than 5000000,ABB,72.9
more than 5000000,ABB,66.1
more than 5000000,ABB,53.2
more than 5000000,ABB,68.1
more than 5000000,ABB,72.7
more than 5000000,ABB,61.8
more than 5000000,ABB,70
more than 5000000,ABB,68
more than 5000000,ABB,81.7
more than 5000000,ABB,72.3
more than 5000000,ABB,72
more than 5000000,ABB,72
more than 5000000,ABB,71.7
more than 5000000,ABB,71.9
more than 5000000,ABB,81.7
more than 5000000,ABB,81.5
more than 5000000,ABB,54.7
more than 5000000,ABB,72.3
more than 5000000,ABB,71.9
more than 5000000,ABB,72.9
more than 5000000,ABB,53.6
more than 5000000,ABB,69.7
more than 5000000,ABB,68
more than 5000000,ABB,81.1
more than 5000000,ABB,58.7
more than 5000000,ABB,52.9
more than 5000000,ABB,58.7
more than 5000000,ABB,83
more than 5000000,ABB,55.3
more than 5000000,ABB,59.7
more than 5000000,ABB,52.5
more than 5000000,ABB,81.4
more than 5000000,ABB,72.9
more than 5000000,ABB,67.5
more than 5000000,ABB,73.6
more than 5000000,ABB,65.4
more than 5000000,ABB,75
more than 5000000,ABB,71.9
more than 5000000,ABB,41.5
more than 5000000,ABB,78.7
more than 5000000,ABB,66.6
more than 5000000,ABB,54.7
more than 5000000,ABB,56.5
more than 5000000,ABB,59.2
more than 5000000,ABB,79.2
more than 5000000,ABB,65.6
more than 5000000,ABB,72.1
more than 5000000,ABB,79.6
more than 5000000,ABB,79.7
more than 5000000,ABB,76.9
more than 5000000,ABB,36.3
more than 5000000,ABB,64.8
more than 5000000,ABB,61
more than 5000000,ABB,74.8
more than 5000000,ABB,73.7
more than 5000000,ABB,67.7
more than 5000000,ABB,72.7
more than 5000000,ABB,55.6
more than 5000000,ABB,75.6
more than 5000000,ABB,67.2
more than 5000000,ABB,73.5
more than 5000000,ABB,68.1
more than 5000000,ABB,82.4
more than 5000000,ABB,67.7
more than 5000000,ABB,82
more than 5000000,ABB,78
more than 5000000,ABB,72.6
more than 5000000,ABB,79.9
more than 5000000,ABB,56.5
more than 5000000,ABB,73.7
more than 5000000,ABB,82.7
more than 5000000,ABB,78.8
more than 5000000,ABB,79.3
more than 5000000,ABB,81
more than 5000000,ABB,83.2
more than 5000000,ABB,73.6
more than 5000000,ABB,55.3
more than 5000000,ABB,56.8
more than 5000000,ABB,78
more than 5000000,ABB,79.4
more than 5000000,ABB,79.1
more than 5000000,ABB,54.8
more than 5000000,ABB,79.8
more than 5000000,ABB,83.4
more than 5000000,ABB,81
more than 5000000,ABB,84
more than 5000000,ABB,67.2
more than 5000000,ABB,47.6
more than 5000000,ABB,82
more than 5000000,ABB,69.6
more than 5000000,ABB,88
more than 5000000,ABB,73.9
more than 5000000,ABB,67.5
more than 5000000,ABB,86
more than 5000000,ABB,88
more than 5000000,ABB,57.1
more than 5000000,ABB,85
more than 5000000,ABB,52.5
more than 5000000,ABB,62.9
more than 5000000,ABB,57.2
more than 5000000,ABB,59.3
more than 5000000,ABB,71.4
more than 5000000,ABB,53.4
more than 5000000,ABB,67.3
more than 5000000,ABB,71.2
more than 5000000,ABB,57.6
more than 5000000,ABB,58.9
more than 5000000,ABB,74.3
more than 5000000,ABB,81.5
more than 5000000,ABB,72
more than 5000000,ABB,69.7
more than 5000000,ABB,72.6
more than 5000000,ABB,77
more than 5000000,ABB,82.6
more than 5000000,ABB,81.7
more than 5000000,ABB,62.4
more than 5000000,ABB,82
more than 5000000,ABB,72.1
more than 5000000,ABB,56
more than 5000000,ABB,54.1
more than 5000000,ABB,82.1
more than 5000000,ABB,62.7
more than 5000000,ABB,72
more than 5000000,ABB,51.4
more than 5000000,ABB,81.4
more than 5000000,ABB,68.1
more than 5000000,ABB,71.8
more than 5000000,ABB,73.2
more than 5000000,ABB,73.6
more than 5000000,ABB,81.1
more than 10000000,ABB,77
more than 10000000,ABB,54.1
more than 10000000,ABB,68.7
more than 10000000,ABB,71.4
more than 10000000,ABB,77.8
more than 10000000,ABB,65.3
more than 10000000,ABB,77.9
more than 10000000,ABB,51.5
more than 10000000,ABB,67
more than 10000000,ABB,64.2
more than 10000000,ABB,57.1
more than 10000000,ABB,77.3
more than 10000000,ABB,78.1
more than 10000000,ABB,71.7
more than 10000000,ABB,76
more than 10000000,ABB,51.6
more than 10000000,ABB,64.4
more than 10000000,ABB,59.2
more than 10000000,ABB,56.1
more than 10000000,ABB,71.4
more than 10000000,ABB,75.1
more than 10000000,ABB,59.2
more than 10000000,ABB,67.4
more than 10000000,ABB,64.7
more than 10000000,ABB,63.9
more than 10000000,ABB,75.5
more than 10000000,ABB,69.1
more than 10000000,ABB,66.7
more than 10000000,ABB,75.3
more than 10000000,ABB,69.9
more than 10000000,ABB,56
more than 10000000,ABB,77.3
more than 10000000,ABB,51.4
more than 10000000,ABB,62.9
more than 10000000,ABB,71.1
more than 10000000,ABB,78
more than 10000000,ABB,45.7
more than 10000000,ABB,78.4
more than 10000000,ABB,59.3
more than 10000000,ABB,72.7
more than 10000000,ABB,69.1
more than 10000000,ABB,79.3
more than 10000000,ABB,81.9
more than 10000000,ABB,57.8
more than 10000000,ABB,55.2
more than 10000000,ABB,79.1
more than 10000000,ABB,75.4
more than 10000000,ABB,79.8
more than 10000000,ABB,53.2
more than 10000000,ABB,59.9
more than 10000000,ABB,69.9
more than 10000000,ABB,73
more than 10000000,ABB,81
more than 10000000,ABB,81.1
more than 10000000,ABB,76.2
more than 10000000,ABB,79.6
more than 10000000,ABB,56.7
more than 10000000,ABB,71.9
more than 10000000,ABB,79.2
more than 10000000,ABB,52.3
more than 10000000,ABB,78.9
more than 10000000,ABB,79.4
more than 10000000,ABB,67.8
more than 10000000,ABB,64.4
more than 10000000,ABB,64.6
more than 10000000,ABB,82
more than 10000000,ABB,58.2
more than 10000000,ABB,83
more than 10000000,ABB,57.3
more than 10000000,ABB,78.9
more than 10000000,ABB,51.8
more than 10000000,ABB,58.6
more than 10000000,ABB,88
more than 10000000,ABB,55
more than 10000000,ABB,64.3
more than 10000000,ABB,66.4
more than 10000000,ABB,74.8
more than 10000000,ABB,47.9
more than 10000000,ABB,56
more than 10000000,ABB,63.7
more than 10000000,ABB,62.1
more than 10000000,ABB,57.3
more than 10000000,ABB,68.4
