group,value1,value2
2000,39,81.1
2001,41,82
2002,44,84
2003,41.5,87
2004,42.3,89
2005,43.3,88
2006,44.3,88
2007,45.3,89
2008,46.2,89
2009,47.1,89
2010,36.3,89
2011,48.9,88
2012,49.7,88
2013,49.9,87
2014,48.1,89
2015,51,88
